,Price_FC,Lower,Upper
2026-02-24,383.03908871468366,0.0029534302639635003,28790226.073310364
2026-02-25,383.50935977451536,0.0027603825005876573,31057941.066347387
2026-02-26,383.98020820327946,0.0025299591270943134,34011460.7094084
2026-02-27,384.45163470983283,0.0023205176098033066,36813069.129350714
2026-03-02,384.9236400039027,0.0021542053245997184,38889865.27488633
2026-03-03,385.39622479608755,0.0020036384564308136,41983226.58679026
2026-03-04,385.8693897978584,0.0018697146140334794,45128888.189795926
2026-03-05,386.3431357215597,0.001716329653926552,48934720.175813586
2026-03-06,386.8174632804105,0.0016044257213972094,52585246.971122205
2026-03-09,387.2923731885055,0.0014568163806462143,56732049.48132718
2026-03-10,387.7678661608161,0.0013354384705021544,61368006.15126796
2026-03-11,388.24394291319146,0.0012461773312577734,66054640.895849034
2026-03-12,388.72060416235973,0.0011398682898071482,71261158.06894854
2026-03-13,389.19785062592894,0.0010591422959909847,77084552.75651872
2026-03-16,389.6756830223881,0.000984874832198103,83160392.55774575
2026-03-17,390.1541020711084,0.0009141269020569904,89452524.68702395
2026-03-18,390.63310849234426,0.0008591430876936417,96507253.75123008
2026-03-19,391.1127030072343,0.0007875408690947797,104183851.67514923
2026-03-20,391.59288633780255,0.0007249758704990779,112334522.59286378
2026-03-23,392.0736592069595,0.0006764745010450396,120749178.11056554
2026-03-24,392.5550223385032,0.0006171416609174537,130092983.12849931
2026-03-25,393.03697645712026,0.0005657081887235491,139069248.7898098
2026-03-26,393.5195222883871,0.0005194841017854655,148931002.0016276
2026-03-27,394.00266055877097,0.00047702439581256365,160785267.11207122
2026-03-30,394.4863919956309,0.0004433680714955247,173959626.10672528
2026-03-31,394.97071732721906,0.0004056714909398331,186992671.30040762
2026-04-01,395.45563728268166,0.00037659687740743716,201585918.51802102
2026-04-02,395.94115259206006,0.00035318957041577593,216935700.85341358
2026-04-03,396.4272639862921,0.00032831852173057283,234176135.62517062
2026-04-06,396.91397219721273,0.00030652858306782723,251717595.4210535
2026-04-07,397.4012779575557,0.00028172887002059086,270597882.40388757
2026-04-08,397.8891820009542,0.0002618515675133798,297516274.9603463
2026-04-09,398.3776850619421,0.00023998885301632867,329688172.3172525
2026-04-10,398.8667878759552,0.00022314403371910072,350774615.9170055
2026-04-13,399.3564911793322,0.00020378003381390136,377994586.2781433
2026-04-14,399.8467957093157,0.00018859176935187872,409613109.74689084
2026-04-15,400.3377022040536,0.0001782134014163161,450348315.0227314
2026-04-16,400.8292114025999,0.00016559224678877138,482487834.32204485
